"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
26366,453311,"Lincecum, Tim",26366,100,0.238,0.131,0.305,0.37,0.303,0.36,0.281,1418,5946,90.3,11.5,1886,87.4,83.43,3152,11890,14369,-4,6.35,110,148,109,146,294,320,295,"106.7","-106.7",,
26198,150359,"Burnett, A.J.",26198,100,0.255,0.142,0.309,0.398,0.324,0.323,0.261,1569,6145,89.6,5.2,1983,89.6,88.31,2596,11488,14624,-1.2999999999999972,6.39,107,150,109,148,296,316,291,"6.3","-6.3",,
26043,490063,"Garza, Matt",26043,100,0.252,0.149,0.289,0.401,0.314,0.328,0.269,1549,6157,87.7,11,1982,89.8,88.71,2474,12292,13679,-1.0999999999999943,6.37,107,150,108,147,298,313,293,"1.2","-1.2",,
26031,471911,"Carrasco, Carlos",26031,100,0.256,0.167,0.314,0.423,0.316,0.306,0.243,1623,6336,89,9.2,2184,89.8,89.73,3537,12946,13042,-0.09999999999999432,6.29,110,152,114,149,292,316,293,"14.8","-14.8","70.477994764","7.404669058"
25979,554430,"Wheeler, Zack",25979,100,0.23,0.122,0.291,0.352,0.282,0.281,0.227,1384,6016,86,11,2365,92.3,93.74,3222,12824,13140,1.4000000000000057,7.01,111,150,114,148,294,320,294,"153.5","-153.5","69.444222649","7.030402971"
25951,429717,"Haren, Dan",25951,100,0.251,0.163,0.29,0.414,0.305,0.312,0.249,1578,6290,87.8,20.3,2142,86.5,82.2,2544,12152,13692,-4.299999999999997,5.34,113,150,109,147,292,312,294,"87.6","-87.6",,
25834,605400,"Nola, Aaron",25834,100,0.232,0.15,0.293,0.383,0.289,0.286,0.229,1436,6188,87.8,10.5,2187,86.7,87.19,3232,12218,13603,0.5,6.67,110,151,114,148,294,322,293,"147.4","-147.4","69.42311756","7.396416984"
25732,446372,"Kluber, Corey",25732,100,0.24,0.146,0.302,0.386,0.294,0.29,0.232,1531,6380,86.8,13.2,2353,88.9,88.44,3381,12458,13247,-0.5,6.21,108,152,112,149,290,314,292,"102.5","-102.5",,
25541,450172,"Volquez, Edinson",25541,100,0.251,0.142,0.298,0.393,0.324,0.341,0.265,1423,5666,88.4,9,2135,88.4,88.8,2603,11111,14326,0.3999999999999915,6.5,110,151,111,145,294,315,294,"-32.2","32.2",,
25452,519455,"Zimmermann, Jordan",25452,100,0.267,0.16,0.305,0.427,0.318,0.338,0.274,1683,6310,88.5,14.7,2320,89.9,88.29,2410,12564,12860,-1.6000000000000085,5.97,109,151,111,146,296,320,294,"-20","20",,
25426,279824,"Buehrle, Mark",25426,100,0.279,0.146,0.301,0.425,0.324,0.335,0.285,1801,6453,86.7,11.4,1927,82.1,80.6,1764,11723,13627,-1.5,6.19,106,152,112,147,295,317,293,"-0.7","0.7",,
25332,425386,"Guthrie, Jeremy",25332,100,0.273,0.174,0.287,0.447,0.337,0.375,0.304,1666,6101,88.5,15,2046,88.9,86.93,1776,11513,13759,-2,5.72,110,149,111,144,293,313,292,"-91.2","91.2",,
25158,543475,"Lyles, Jordan",25158,100,0.273,0.189,0.301,0.462,0.342,0.333,0.261,1626,5947,88.4,13.9,2231,87.9,88.35,2385,11717,13403,0.5,6.68,111,153,117,148,300,323,296,"-168","168","69.925844167","7.254006667"
25090,527048,"Pérez, Martín",25090,100,0.28,0.15,0.313,0.429,0.335,0.337,0.272,1714,6124,87.7,8.8,2034,88.9,88.24,2242,11578,13500,-0.7000000000000028,5.89,107,150,113,146,299,324,294,"-103.9","103.9","71.169691443","7.424689438"
25055,502239,"Cahill, Trevor",25055,100,0.255,0.151,0.29,0.406,0.324,0.323,0.247,1454,5702,87.8,6.3,2180,86.9,86.3,2336,10539,14465,-0.6000000000000085,6.05,111,151,114,148,294,318,295,"-34.1","34.1",,
24987,543294,"Hendricks, Kyle",24987,100,0.25,0.149,0.287,0.399,0.301,0.307,0.253,1537,6148,85.9,10.7,2099,84,83.2,2484,11472,13492,-0.7999999999999972,5.76,113,152,112,150,296,319,295,"79.3","-79.3","69.713006992","7.355828177"
24881,502706,"Holland, Derek",24881,100,0.263,0.184,0.298,0.447,0.336,0.348,0.263,1526,5800,89,14.1,2202,88.6,86.39,2381,11386,13475,-2.1999999999999886,5.86,107,150,112,145,298,319,294,"-123.2","123.2",,
24604,450306,"Vargas, Jason",24604,100,0.26,0.162,0.285,0.422,0.32,0.325,0.252,1537,5908,87,15,2275,83.6,80.74,2314,11000,13549,-2.8999999999999915,5.93,110,151,111,145,299,319,296,"4.5","-4.5",,
24234,544931,"Strasburg, Stephen",24234,100,0.223,0.13,0.297,0.353,0.277,0.276,0.217,1261,5654,88,10.9,2209,91,91.07,3091,11438,12774,0.09999999999999432,6.75,111,151,111,148,296,311,294,"162.2","-162.2",,
23943,608379,"Wacha, Michael",23943,100,0.253,0.161,0.296,0.413,0.313,0.326,0.26,1419,5619,87.7,11.9,1970,89.1,89.57,2618,11693,12195,0.5,6.73,111,150,113,148,295,318,295,"30.1","-30.1","68.513231894","7.258608407"
23676,527054,"Teheran, Julio",23676,100,0.239,0.166,0.273,0.405,0.309,0.328,0.25,1316,5508,88.4,14.8,2240,86.7,86.44,2640,11147,12479,-0.29999999999999716,6.16,109,149,111,149,298,317,294,"28.9","-28.9","71.607733704","7.328533333"
23663,468504,"Chacín, Jhoulys",23663,100,0.246,0.152,0.283,0.398,0.315,0.326,0.255,1344,5460,88,11.5,2206,86.5,84.76,2142,10243,13374,-1.7000000000000028,5.55,109,153,114,149,299,320,297,"-0.3","0.3",,
23601,460059,"Pelfrey, Mike",23601,100,0.29,0.138,0.317,0.429,0.343,0.357,0.291,1577,5432,88.1,7.4,1809,89.9,89.45,1569,10550,12965,-0.5,6.74,109,151,111,145,295,314,292,"-83.4","83.4",,
23484,573186,"Stroman, Marcus",23484,100,0.253,0.129,0.299,0.382,0.302,0.314,0.258,1431,5646,88.8,3.7,2385,89.5,88.54,2429,10736,12741,-1,5.71,110,152,114,149,295,320,294,"78","-78","70.240085905","7.304663837"
23444,450729,"Fister, Doug",23444,100,0.264,0.132,0.297,0.396,0.311,0.331,0.269,1514,5729,87.3,9.5,1969,85.3,84.69,1644,10219,13188,-0.5999999999999943,6.42,109,149,110,147,285,315,289,"18.7","-18.7",,
23160,501985,"Minor, Mike",23160,100,0.251,0.175,0.292,0.427,0.317,0.307,0.235,1360,5409,87.3,17.4,2520,88,87.23,2474,10845,12260,-0.7999999999999972,5.63,108,153,113,146,296,321,295,"-6","6",,
22755,502042,"Archer, Chris",22755,100,0.239,0.147,0.299,0.386,0.303,0.309,0.239,1233,5155,89.5,11.7,2235,91.5,90.66,2879,10478,12264,-0.7999999999999972,5.84,110,152,115,147,299,326,296,"32.8","-32.8",,
22718,456701,"Bailey, Homer",22718,100,0.267,0.156,0.309,0.423,0.326,0.346,0.285,1415,5293,89.4,11.5,1844,90,89.3,2347,10937,11704,-0.7000000000000028,6.31,114,150,115,145,300,316,294,"-48.3","48.3",,
22475,450351,"Wilson, C.J.",22475,100,0.239,0.121,0.29,0.36,0.306,0.329,0.261,1184,4948,89.9,11.5,2082,88,85.69,1941,9137,13254,-2.299999999999997,5.49,108,147,108,147,297,318,301,"19.8","-19.8",,
22466,545333,"Bauer, Trevor",22466,100,0.232,0.159,0.292,0.391,0.304,0.298,0.224,1155,4989,88.6,13.7,2419,88,87.63,2592,10031,12413,-0.4000000000000057,6.09,109,152,113,149,290,312,290,"46.3","-46.3",,
22454,543606,"Odorizzi, Jake",22454,100,0.24,0.17,0.281,0.409,0.309,0.319,0.245,1151,4805,88.6,17.8,2043,88.1,87.3,2553,10887,11554,-0.7999999999999972,5.72,111,153,116,147,297,324,296,"22.7","-22.7",,
22372,112526,"Colon, Bartolo",22372,100,0.278,0.169,0.303,0.447,0.325,0.333,0.279,1655,5946,89,11.9,2122,88.4,85.21,1419,10490,11804,-3.200000000000003,5.24,110,150,111,146,292,314,293,"-39.6","39.6",,
22362,621244,"Berríos, José",22362,100,0.246,0.159,0.292,0.405,0.31,0.32,0.25,1309,5331,87.9,13.4,2135,88.9,88.91,2460,10529,11831,0,6.36,109,152,117,148,294,322,294,"30.4","-30.4","69.892136447","7.207503402"
22318,421685,"Harang, Aaron",22318,100,0.275,0.172,0.31,0.447,0.338,0.345,0.268,1429,5196,90,16.6,2174,86.9,86.49,1963,10549,11626,-0.4000000000000057,6.2,110,151,110,149,289,315,289,"-55.2","55.2",,
22240,433579,"Danks, John",22240,100,0.261,0.162,0.292,0.423,0.326,0.323,0.255,1380,5278,87.3,16.1,2130,87,84.04,2158,10517,11673,-3,5.85,108,148,107,145,296,310,283,"-38.5","38.5",,
22205,592662,"Ray, Robbie",22205,100,0.235,0.183,0.305,0.417,0.318,0.31,0.228,1116,4758,89.6,14.8,2210,90.3,90.16,3130,10448,11739,-0.09999999999999432,6.2,108,152,116,148,300,322,295,"38","-38","68.493216703","7.151645906"
22064,424324,"Lee, Cliff",22064,100,0.248,0.122,0.305,0.37,0.284,,,1417,5703,,,,88.3,,2084,10894,11154,,,,,,,,,,"178","-178",,
21989,346798,"Lohse, Kyle",21989,100,0.267,0.158,0.291,0.424,0.32,0.364,0.289,1448,5431,88.3,13.5,2011,86.2,83.77,1679,9787,12145,-2.4000000000000057,5.4,106,147,108,147,294,318,296,"-16.5","16.5",,
21854,444857,"Feldman, Scott",21854,100,0.268,0.153,0.292,0.422,0.326,0.326,0.271,1354,5050,86.3,8.8,2254,86.6,85.18,1598,9602,12173,-1.3999999999999915,6.07,110,148,110,148,286,308,282,"-28.8","28.8",,
21643,276520,"Arroyo, Bronson",21643,100,0.266,0.185,0.279,0.452,0.331,0.368,0.29,1447,5430,88.6,19.8,2118,81.3,76.18,1574,9758,11781,-5.099999999999994,5.41,114,149,110,147,292,306,278,"-47.7","47.7",,
21549,462136,"Estrada, Marco",21549,100,0.236,0.189,0.266,0.425,0.311,0.304,0.227,1161,4915,87.5,21.9,2309,84.8,82.52,2478,10286,11235,-2.299999999999997,5.34,109,153,113,148,295,320,295,"-10.1","10.1",,
21513,594798,"deGrom, Jacob",21513,100,0.211,0.117,0.288,0.327,0.255,0.257,0.207,1066,5058,86.8,11.7,2302,92.6,93.94,3446,11117,10374,1.3000000000000114,6.86,113,151,112,147,293,315,296,"258","-258",,
21496,502171,"Cobb, Alex",21496,100,0.256,0.138,0.301,0.395,0.308,0.327,0.27,1320,5148,89,4.7,2044,88.4,87.8,2070,9633,11836,-0.6000000000000085,5.6,112,153,115,148,297,324,297,"39.8","-39.8","71.4512191","7.316073"
21338,408241,"Peavy, Jake",21338,100,0.246,0.153,0.288,0.4,0.307,0.327,0.25,1225,4978,88.5,17.7,2434,87.8,85.89,2187,10216,11076,-1.8999999999999915,5.67,112,149,110,147,286,310,296,"35.6","-35.6",,
21312,453329,"Buchholz, Clay",21312,100,0.255,0.141,0.291,0.396,0.314,0.317,0.256,1292,5075,87.7,12.9,2215,87.5,85.88,2099,9761,11517,-1.5999999999999943,6.28,109,150,112,148,288,318,294,"14.6","-14.6",,
21142,502032,"Norris, Bud",21142,100,0.26,0.162,0.311,0.421,0.331,0.32,0.249,1231,4742,89.5,10.7,2386,90.4,90.68,2316,9721,11347,0.29999999999999716,6.06,112,151,112,148,296,313,296,"-64.6","64.6",,
21033,407822,"De La Rosa, Jorge",21033,100,0.254,0.157,0.299,0.411,0.327,0.325,0.252,1196,4701,87.5,8.9,1769,87.9,85.41,2392,9736,11224,-2.5,5.65,109,150,113,145,303,322,299,"-30.6","30.6",,
20987,622072,"Wood, Alex",20987,100,0.252,0.136,0.307,0.388,0.306,0.311,0.251,1240,4917,87.9,8.8,1940,87.3,86.88,2321,9797,11163,-0.3999999999999915,6.11,109,152,112,146,299,319,293,"42.6","-42.6","69.758238889","7.090056622"
20845,493133,"Kuroda, Hiroki",20845,100,0.249,0.137,0.284,0.386,0.296,,,1281,5150,,,,89,,2199,9870,10864,,,,,,,,,,"94","-94",,
20806,467100,"Nova, Iván",20806,100,0.277,0.174,0.307,0.451,0.336,0.339,0.277,1470,5305,89.3,8.8,2194,89.1,88.22,1878,9798,10955,-0.8999999999999915,5.8,109,150,111,148,297,319,294,"-33.8","33.8",,
20745,476451,"Hellickson, Jeremy",20745,100,0.249,0.182,0.271,0.431,0.319,0.338,0.267,1211,4865,87.8,14.3,2181,85.7,84.13,2096,9656,11025,-1.6000000000000085,5.68,110,152,111,148,294,315,293,"-12.2","12.2",,
20565,622491,"Castillo, Luis",20565,100,0.227,0.157,0.284,0.383,0.294,0.292,0.226,1052,4643,87.8,9.5,2162,92.3,91,3035,10235,10328,-1.2999999999999972,5.49,114,151,116,147,293,317,292,"86.3","-86.3","69.641929308","7.135758561"
20434,461833,"Hughes, Phil",20434,100,0.274,0.178,0.309,0.452,0.332,0.376,0.306,1358,4952,90.5,16.8,2124,88.4,86.54,1847,10249,10127,-1.9000000000000057,5.82,107,149,112,146,292,313,292,"-41.8","41.8",,
20303,453385,"Richard, Clayton",20303,100,0.279,0.154,0.308,0.433,0.336,0.332,0.275,1406,5037,88.9,1.6,2120,88.3,86.24,1622,9414,10819,-2.0999999999999943,5.36,106,150,111,147,298,315,295,"-90","90",,
